p1,scaled_var,error_bars
0.25,0.0,0.0
0.26,0.00038900160697887974,0.00039447183170084694
0.27,0.0019138372359963254,0.0018222848081828383
0.28,0.0,0.0
0.29000000000000004,0.013195116212631364,0.013274186431741658
0.30000000000000004,0.0070282598714416925,0.007027432700234669
0.31000000000000005,0.16698152767574737,0.167027140808846
0.32000000000000006,0.029203386797265588,0.029390211846495252
0.33000000000000007,0.3597679788797062,0.3617316678397613
0.3400000000000001,0.5963874419702071,0.5957623180774921
0.3500000000000001,0.6786442100550965,0.6779817409453117
0.3600000000000001,1.9027299988521578,1.903845344055454
0.3700000000000001,0.5212507977502296,0.5216820628994491
0.3800000000000001,0.5538188450158147,0.5545686107269667
0.3900000000000001,0.5317947642842566,0.5311078854943373
0.40000000000000013,0.5030130622130395,0.502352090798388
