immune_frac,avg_frac_infected,std_error_mean
0.0,0.25460324324324324,0.0003971928097209973
0.05,0.2249538338338338,0.0010070117783674741
0.1,0.1910724324324324,0.0032843896414735453
0.15000000000000002,0.14979283283283282,0.002999220410108895
0.2,0.10362122122122124,0.0056372817079834905
0.25,0.037784664664664666,0.009822869333219957
0.30000000000000004,0.0011594794794794795,0.0005333342110872426
0.35000000000000003,0.00012948948948948946,4.8187086117982006e-05
0.4,9.24924924924925e-05,9.24924924924925e-05
0.45,0.0,0.0
0.5,0.0,0.0
0.55,0.0,0.0
0.6000000000000001,0.0,0.0
0.65,0.0,0.0
0.7000000000000001,0.0,0.0
0.75,0.0,0.0
0.8,0.0,0.0
0.8500000000000001,0.0,0.0
0.9,0.0,0.0
0.9500000000000001,0.0,0.0
1.0,0.0,0.0
