immune_frac,avg_frac_infected,std_error_mean
0.0,0.2551838238238238,0.00013395967319642594
0.05,0.22328296296296296,0.0009049699357429555
0.1,0.19004988988988986,0.00175409735413918
0.15000000000000002,0.14935143143143143,0.0023878187698560525
0.2,0.10108820820820821,0.004498004097829094
0.25,0.04030942942942943,0.010462564032656085
0.30000000000000004,0.0028682282282282284,0.0006560576212446464
0.35000000000000003,0.0003604404404404405,0.00019583277816425437
0.4,6.782782782782783e-05,4.635274106924703e-05
0.45,7.927927927927927e-06,7.927927927927927e-06
0.5,1.153153153153153e-05,1.1531531531531529e-05
0.55,0.0,0.0
0.6000000000000001,0.0,0.0
0.65,0.0,0.0
0.7000000000000001,0.0,0.0
0.75,0.0,0.0
0.8,0.0,0.0
0.8500000000000001,0.0,0.0
0.9,0.0,0.0
0.9500000000000001,0.0,0.0
1.0,0.0,0.0
