immune_frac,avg_frac_infected,std_error_mean
0.0,0.2546444844844845,0.0005347792116580848
0.01,0.24842530530530532,0.000413111071327979
0.02,0.24331515515515517,0.0008373912613737529
0.03,0.23726790790790792,0.0012190333811369811
0.04,0.23100852852852852,0.001087492289038397
0.05,0.22215975975975977,0.0005070808583083483
0.06,0.21780052052052054,0.0023313518821480336
0.07,0.2127266466466466,0.001294237425040022
0.08,0.20412964964964964,0.0020577936342519158
0.09,0.1944182582582583,0.002287133059068088
0.1,0.19199439439439442,0.0012056869395956917
0.11,0.18359407407407408,0.0017048035718175152
0.12,0.1733978778778779,0.0033460748940476433
0.13,0.17013805805805807,0.004010663038076368
0.14,0.15277117117117117,0.001244392370690248
0.15,0.1524856056056056,0.0032251736310710717
0.16,0.14063359359359356,0.0037018066046870766
0.17,0.137714994994995,0.0013250840191731514
0.18,0.12432984984984985,0.0035469892758666897
0.19,0.11456504504504506,0.001720500362473967
0.2,0.10418458458458457,0.003218929336696165
0.21,0.08866530530530531,0.009835909093107156
0.22,0.07095183183183183,0.0073846788759647595
0.23,0.053331251251251245,0.009265693131317174
0.24,0.049348148148148155,0.007063118950929586
0.25,0.037948108108108114,0.008987224856463236
0.26,0.02453165165165165,0.0033367737469624445
0.27,0.008928928928928928,0.002195664135757814
0.28,0.0034507307307307306,0.001124937743507884
0.29,0.008091371371371373,0.005159996657347966
0.3,0.0060336336336336335,0.002084279032652015
0.31,0.0010885285285285287,0.0001828473748562477
0.32,0.0006814014014014014,0.0002629109156672739
0.33,0.00025105105105105105,0.00010250977514240041
0.34,0.0001974774774774775,7.900270256515398e-05
0.35000000000000003,0.00043627627627627625,0.00024055786810604958
0.36,1.5215215215215216e-06,1.5215215215215216e-06
0.37,0.00014526526526526526,9.882149568961528e-05
0.38,2.146146146146146e-05,1.5243953682349446e-05
0.39,5.3653653653653654e-05,5.3653653653653654e-05
0.4,2.5465465465465465e-05,1.5594863138638613e-05
0.41000000000000003,1.6016016016016015e-05,1.6016016016016015e-05
0.42,0.0,0.0
0.43,2.082082082082082e-06,2.082082082082082e-06
0.44,0.0,0.0
0.45,0.0,0.0
0.46,0.0,0.0
0.47000000000000003,0.0,0.0
0.48,2.3623623623623625e-05,2.362362362362362e-05
0.49,0.0,0.0
0.5,0.0,0.0
0.51,0.0,0.0
0.52,0.0,0.0
0.53,0.0,0.0
0.54,0.0,0.0
0.55,0.0,0.0
0.56,0.0,0.0
0.5700000000000001,0.0,0.0
0.58,0.0,0.0
0.59,0.0,0.0
0.6,0.0,0.0
0.61,0.0,0.0
0.62,0.0,0.0
0.63,0.0,0.0
0.64,0.0,0.0
0.65,0.0,0.0
0.66,0.0,0.0
0.67,0.0,0.0
0.68,0.0,0.0
0.6900000000000001,0.0,0.0
0.7000000000000001,0.0,0.0
0.71,0.0,0.0
0.72,0.0,0.0
0.73,0.0,0.0
0.74,0.0,0.0
0.75,0.0,0.0
0.76,0.0,0.0
0.77,0.0,0.0
0.78,0.0,0.0
0.79,0.0,0.0
0.8,0.0,0.0
0.81,0.0,0.0
0.8200000000000001,0.0,0.0
0.8300000000000001,0.0,0.0
0.84,0.0,0.0
0.85,0.0,0.0
0.86,0.0,0.0
0.87,0.0,0.0
0.88,0.0,0.0
0.89,0.0,0.0
0.9,0.0,0.0
0.91,0.0,0.0
0.92,0.0,0.0
0.93,0.0,0.0
0.9400000000000001,0.0,0.0
0.9500000000000001,0.0,0.0
0.96,0.0,0.0
0.97,0.0,0.0
0.98,0.0,0.0
0.99,0.0,0.0
1.0,0.0,0.0
