scaled_mean,p1,p3
0.0,0.0,0.0
0.0,0.0,0.05
0.0,0.0,0.1
0.0,0.0,0.15000000000000002
0.0,0.0,0.2
0.0,0.0,0.25
0.0,0.0,0.30000000000000004
0.0,0.0,0.35000000000000003
0.0,0.0,0.4
0.0,0.0,0.45
0.0,0.0,0.5
0.0,0.0,0.55
0.0,0.0,0.6000000000000001
0.0,0.0,0.65
0.0,0.0,0.7000000000000001
0.0,0.0,0.75
0.0,0.0,0.8
0.0,0.0,0.8500000000000001
0.0,0.0,0.9
0.0,0.0,0.9500000000000001
0.0,0.0,1.0
0.0,0.05,0.0
0.0,0.05,0.05
0.0,0.05,0.1
0.0,0.05,0.15000000000000002
0.0,0.05,0.2
0.0,0.05,0.25
0.0,0.05,0.30000000000000004
0.0,0.05,0.35000000000000003
0.0,0.05,0.4
0.0,0.05,0.45
0.0,0.05,0.5
0.0,0.05,0.55
0.0,0.05,0.6000000000000001
0.0,0.05,0.65
0.0,0.05,0.7000000000000001
0.0,0.05,0.75
0.0,0.05,0.8
0.0,0.05,0.8500000000000001
0.0,0.05,0.9
0.0,0.05,0.9500000000000001
0.0,0.05,1.0
0.0,0.1,0.0
0.0,0.1,0.05
0.0,0.1,0.1
0.0,0.1,0.15000000000000002
0.0,0.1,0.2
0.0,0.1,0.25
0.0,0.1,0.30000000000000004
0.0,0.1,0.35000000000000003
0.0,0.1,0.4
0.0,0.1,0.45
0.0,0.1,0.5
0.0,0.1,0.55
0.0,0.1,0.6000000000000001
0.0,0.1,0.65
0.0,0.1,0.7000000000000001
0.0,0.1,0.75
0.0,0.1,0.8
0.0,0.1,0.8500000000000001
0.0,0.1,0.9
0.0,0.1,0.9500000000000001
0.0,0.1,1.0
0.0,0.15000000000000002,0.0
0.0,0.15000000000000002,0.05
0.0,0.15000000000000002,0.1
0.0,0.15000000000000002,0.15000000000000002
0.0,0.15000000000000002,0.2
0.0,0.15000000000000002,0.25
0.0,0.15000000000000002,0.30000000000000004
0.0,0.15000000000000002,0.35000000000000003
0.0,0.15000000000000002,0.4
0.0,0.15000000000000002,0.45
0.0,0.15000000000000002,0.5
0.0,0.15000000000000002,0.55
0.0,0.15000000000000002,0.6000000000000001
0.0,0.15000000000000002,0.65
0.0,0.15000000000000002,0.7000000000000001
0.0,0.15000000000000002,0.75
0.0,0.15000000000000002,0.8
0.0,0.15000000000000002,0.8500000000000001
0.0,0.15000000000000002,0.9
0.0,0.15000000000000002,0.9500000000000001
0.0,0.15000000000000002,1.0
0.0,0.2,0.0
0.0,0.2,0.05
0.0,0.2,0.1
0.0,0.2,0.15000000000000002
0.0,0.2,0.2
0.0,0.2,0.25
0.0,0.2,0.30000000000000004
0.0,0.2,0.35000000000000003
0.0,0.2,0.4
0.0,0.2,0.45
0.0,0.2,0.5
0.0,0.2,0.55
0.0,0.2,0.6000000000000001
0.0,0.2,0.65
0.0,0.2,0.7000000000000001
0.0,0.2,0.75
0.0,0.2,0.8
0.0,0.2,0.8500000000000001
0.0,0.2,0.9
0.0,0.2,0.9500000000000001
0.0,0.2,1.0
0.0,0.25,0.0
0.0,0.25,0.05
0.0,0.25,0.1
0.0,0.25,0.15000000000000002
0.0,0.25,0.2
0.0,0.25,0.25
0.0,0.25,0.30000000000000004
0.0,0.25,0.35000000000000003
0.005544827586206897,0.25,0.4
0.0021,0.25,0.45
0.002562962962962963,0.25,0.5
0.005227586206896551,0.25,0.55
0.005025641025641026,0.25,0.6000000000000001
0.0,0.25,0.65
0.0068242424242424245,0.25,0.7000000000000001
0.0022933333333333334,0.25,0.75
0.004311764705882353,0.25,0.8
0.009978260869565218,0.25,0.8500000000000001
0.002,0.25,0.9
0.008308333333333333,0.25,0.9500000000000001
0.008645871559633029,0.25,1.0
0.0,0.30000000000000004,0.0
0.0,0.30000000000000004,0.05
0.0,0.30000000000000004,0.1
0.0,0.30000000000000004,0.15000000000000002
0.0,0.30000000000000004,0.2
0.006510091743119266,0.30000000000000004,0.25
0.004500813008130081,0.30000000000000004,0.30000000000000004
0.01772842105263158,0.30000000000000004,0.35000000000000003
0.01015057471264368,0.30000000000000004,0.4
0.016795515695067265,0.30000000000000004,0.45
0.02247253141831239,0.30000000000000004,0.5
0.024002787456445993,0.30000000000000004,0.55
0.05506799999999999,0.30000000000000004,0.6000000000000001
0.07184444444444445,0.30000000000000004,0.65
0.07673555555555556,0.30000000000000004,0.7000000000000001
0.09712177777777778,0.30000000000000004,0.75
0.1024431111111111,0.30000000000000004,0.8
0.10875244444444444,0.30000000000000004,0.8500000000000001
0.12316088888888889,0.30000000000000004,0.9
0.12418622222222223,0.30000000000000004,0.9500000000000001
0.13571111111111112,0.30000000000000004,1.0
0.0,0.35000000000000003,0.0
0.0,0.35000000000000003,0.05
0.0,0.35000000000000003,0.1
0.0,0.35000000000000003,0.15000000000000002
0.001951219512195122,0.35000000000000003,0.2
0.02938938775510204,0.35000000000000003,0.25
0.04669066666666667,0.35000000000000003,0.30000000000000004
0.07117377777777778,0.35000000000000003,0.35000000000000003
0.09840266666666667,0.35000000000000003,0.4
0.11596755555555556,0.35000000000000003,0.45
0.13053955555555555,0.35000000000000003,0.5
